time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
1.658315,-0.2594,2.7728,0.1697,2.790
1.660809,-0.2594,2.7728,0.1697,2.790
1.678560,-0.6901,3.0415,0.7761,3.214
1.680530,-0.6901,3.0415,0.7761,3.214
1.698594,-0.7620,2.4845,1.0361,2.798
1.700478,-0.7620,2.4845,1.0361,2.798
1.726812,1.0817,1.7308,0.8025,2.193
1.729702,1.0817,1.7308,0.8025,2.193
1.738719,0.5566,2.4495,-0.5519,2.572
1.740624,0.5566,2.4495,-0.5519,2.572
1.758338,-1.3843,1.6853,0.0703,2.182
1.760895,-1.3843,1.6853,0.0703,2.182
1.778065,-1.7022,2.1983,-4.1557,5.000
1.780651,-1.7022,2.1983,-4.1557,5.000
1.797729,-0.9169,0.2420,-4.2018,4.307
1.799262,-0.9169,0.2420,-4.2018,4.307
1.817981,-0.8639,-0.5192,-2.6260,2.813
1.818665,-0.8639,-0.5192,-2.6260,2.813
1.840589,-1.0842,0.9868,-2.0773,2.542
1.848737,-1.0842,0.9868,-2.0773,2.542
1.860549,-1.1474,3.0620,-1.7980,3.732
1.862209,-1.1474,3.0620,-1.7980,3.732
1.877617,-0.7789,3.4710,-1.3512,3.805
1.880485,-0.7789,3.4710,-1.3512,3.805
1.898239,-0.2557,3.0746,-0.4681,3.121
1.899850,-0.2557,3.0746,-0.4681,3.121
1.918151,0.0888,1.6319,-0.1609,1.642
1.919260,0.0888,1.6319,-0.1609,1.642
1.938301,-0.1852,-0.2043,0.5430,0.609
1.939476,-0.1852,-0.2043,0.5430,0.609
1.957819,-0.2708,-2.0410,0.7313,2.185
1.958973,-0.2708,-2.0410,0.7313,2.185
1.978823,-0.0181,-3.2704,0.8717,3.385
1.980770,-0.0181,-3.2704,0.8717,3.385
1.998042,0.4276,-4.0514,0.7457,4.142
1.999136,0.4276,-4.0514,0.7457,4.142
2.017864,0.5283,-4.1008,0.8508,4.221
2.019861,0.5283,-4.1008,0.8508,4.221
2.040029,0.5265,-4.3754,0.6861,4.460
2.042762,0.5265,-4.3754,0.6861,4.460
2.058164,0.4669,-4.5388,0.2939,4.572
2.060163,0.4669,-4.5388,0.2939,4.572
2.078955,-0.0584,-3.9321,0.6945,3.993
2.081467,-0.0584,-3.9321,0.6945,3.993
2.099291,-0.3301,-2.9301,1.7122,3.410
2.101417,-0.3301,-2.9301,1.7122,3.410
2.118678,-0.1454,-2.1733,1.5944,2.699
2.119995,-0.1454,-2.1733,1.5944,2.699
2.141156,-0.0144,-1.6922,1.4562,2.233
2.143042,-0.0144,-1.6922,1.4562,2.233
2.164851,0.0422,-1.0822,1.9007,2.188
2.166401,0.0422,-1.0822,1.9007,2.188
2.178405,-0.2638,0.0894,1.5704,1.595
2.179734,-0.2638,0.0894,1.5704,1.595
2.198008,-0.4732,1.2581,0.5965,1.471
2.199601,-0.4732,1.2581,0.5965,1.471
2.218118,-0.2287,1.7278,-0.3203,1.772
2.219569,-0.2287,1.7278,-0.3203,1.772
2.239877,0.5103,2.0506,0.1111,2.116
2.241742,0.5103,2.0506,0.1111,2.116
2.257914,0.6313,2.7995,0.9951,3.037
2.259908,0.6313,2.7995,0.9951,3.037
2.282068,0.3833,2.9766,2.2376,3.744
2.284047,0.3833,2.9766,2.2376,3.744
2.299574,-0.1506,2.8455,2.6294,3.877
2.301776,-0.1506,2.8455,2.6294,3.877
2.317766,1.2124,3.1208,-0.7344,3.428
2.319546,1.2124,3.1208,-0.7344,3.428
2.338327,0.3138,3.7447,-4.6344,5.966
2.341618,0.3138,3.7447,-4.6344,5.966
2.358360,2.1183,4.2173,-4.9648,6.850
2.360346,2.1183,4.2173,-4.9648,6.850
2.378347,2.1346,0.3470,-1.9099,2.885
